10,223980,13
10,241980,14
10,246330,14
10,220770,15
10,204590,13
10,237980,13
10,241350,13
10,249950,10
10,239620,14
10,244590,14
10,243590,13
10,217730,14
10,224980,14
10,184620,13
10,245780,13
10,223390,13
10,243330,15
10,226190,12
10,232330,13
10,249930,12
10,234580,14
10,245990,15
10,248580,13
10,213130,13
10,225130,14
10,249430,14
10,200490,13
10,201230,13
10,245480,13
10,249930,12
20,249930,12
20,249930,12
20,217070,13
20,243320,14
20,244870,15
20,247830,12
20,241390,14
20,244720,15
20,233770,16
20,246300,13
20,195130,15
20,212580,13
20,249870,15
20,249990,9
20,239970,14
20,229320,14
20,243980,14
20,237620,15
20,240380,14
20,243020,15
20,246740,13
20,231340,14
20,246470,15
20,203830,11
20,231320,14
20,247780,13
20,242370,16
20,211280,14
20,237220,15
20,234580,16
30,248430,14
30,249940,10
30,249950,10
30,240830,14
30,249330,14
30,249940,13
30,249680,13
30,218980,14
30,249930,12
30,249870,15
30,248640,14
30,240890,15
30,228620,15
30,242630,14
30,241220,15
30,248750,15
30,225680,15
30,221820,15
30,245230,15
30,237720,14
30,249950,11
30,245970,14
30,242830,14
30,241130,14
30,249090,15
30,249380,13
30,191730,14
30,241370,15
30,243330,13
30,219480,14
40,249950,11
40,225480,15
40,249830,13
40,233870,13
40,237430,14
40,249970,14
40,232480,15
40,208570,14
40,227880,16
40,246430,14
40,233530,14
40,225330,13
40,249990,14
40,249470,15
40,249030,14
40,203200,14
40,239170,17
40,248980,15
40,249880,15
40,239870,15
40,236040,14
40,240980,16
40,249980,12
40,242730,15
40,247890,15
40,245990,14
40,220130,14
40,249990,13
40,249520,15
40,247420,15
50,248630,16
50,245430,14
50,249930,7
50,247780,14
50,249980,11
50,249940,13
50,203230,14
50,248520,16
50,242870,15
50,249980,12
50,249980,9
50,240190,15
50,249980,14
50,248390,15
50,228580,12
50,248090,13
50,249930,11
50,230720,16
50,249990,12
50,248480,14
50,242730,15
50,245320,14
50,248780,14
50,249940,11
50,249900,10
50,233480,15
50,249990,7
50,249940,9
50,249940,9
50,249980,10
